zip,state,city,lat,lon
00917,PR,San Juan,18.422263,-66.0513
00918,PR,San Juan,18.417668,-66.06494
00919,PR,Hato Rey,18.4683,-66.1061
00920,PR,San Juan,18.41242,-66.09069
00921,PR,San Juan,18.394019,-66.08633
00922,PR,Caparra,18.4683,-66.1061
00923,PR,San Juan,18.410681,-66.03806
00924,PR,San Juan,18.401917,-66.01194
00925,PR,San Juan,18.400006,-66.05028
00926,PR,San Juan,18.361363,-66.0562
00927,PR,San Juan,18.39184,-66.06867
00928,PR,Rio Piedras,18.4683,-66.1061
00929,PR,65th Infantry,18.4683,-66.1061
00930,PR,Rio Piedras,18.4683,-66.1061
00931,PR,Rio Piedras,18.4683,-66.1061
00933,PR,San Juan,18.4683,-66.1061
00934,PR,Fort Buchanan,18.413511,-66.12198
00935,PR,Centro Medico Metropolitano,18.4683,-66.1061
00936,PR,65th Infantry,18.4683,-66.1061
00937,PR,San Juan,18.4683,-66.1061
00938,PR,San Juan,18.4551,-66.0548
00939,PR,San Juan,18.4683,-66.1061
00940,PR,San Juan,18.45,-66.07
00949,PR,Toa Baja,18.433173,-66.2042
00950,PR,Toa Baja,18.4456,-66.26
00951,PR,Toa Baja,18.4456,-66.26
00952,PR,Sabana Seca,18.429218,-66.18014
00953,PR,Toa Alta,18.36802,-66.23414
00954,PR,Toa Alta,18.3905,-66.2487
00955,PR,San Juan,18.4697,-66.1179
00956,PR,Bayamon,18.34216,-66.16643
00957,PR,Bayamon,18.369674,-66.18669
00958,PR,Bayamon,18.4008,-66.1589
00959,PR,Bayamon,18.387063,-66.15943
00960,PR,Bayamon,18.4008,-66.1589
00961,PR,Bayamon,18.412462,-66.16033
00962,PR,Catano,18.437683,-66.13847
00965,PR,Guaynabo,18.431453,-66.11703
00966,PR,Guaynabo,18.398507,-66.11522
00968,PR,Guaynabo,18.408479,-66.1025
00969,PR,Guaynabo,18.366981,-66.10889
00970,PR,Guaynabo,18.3596,-66.1116
00971,PR,Guaynabo,18.329688,-66.11876
00975,PR,Bureau of Census,18.4683,-66.1064
00976,PR,Trujillo Alto,18.346767,-66.00561
00977,PR,Trujillo Alto,18.3569,-66.0076
00978,PR,St Just Contract,18.3703,-66.0123
00979,PR,Carolina,18.431885,-66.0127
00981,PR,Carolina,18.4683,-66.1064
00982,PR,Carolina,18.409345,-65.99313
00983,PR,Carolina,18.414408,-65.97582
00984,PR,Carolina,18.3828,-65.9578
00985,PR,Carolina,18.374896,-65.94691
00986,PR,Carolina,18.3828,-65.9578
00987,PR,Carolina,18.372228,-65.96275
00988,PR,Carolina,18.3828,-65.9578
009HH,PR,,18.435287,-66.06653
01001,MA,Agawam,42.07061,-72.62029
01002,MA,Cushman,42.377651,-72.50323
01003,MA,Amherst,42.3894,-72.5279
01004,MA,Amherst,42.3721,-72.523
01005,MA,Barre,42.412094,-72.10443
01007,MA,Belchertown,42.278424,-72.411
01008,MA,Blandford,42.174313,-72.94828
01009,MA,Bondsville,42.2098,-72.3455
01010,MA,Brimfield,42.126038,-72.20552
01011,MA,Chester,42.271442,-73.01958
01012,MA,Chesterfield,42.390836,-72.84356
01013,MA,Chicopee,42.161492,-72.60316
01014,MA,Chicopee,42.1486,-72.6085
01020,MA,Chicopee,42.175992,-72.57265
01021,MA,Chicopee,42.16,-72.59
01022,MA,Westover Afb,42.196666,-72.55606
01026,MA,Cummington,42.465041,-72.91813
01027,MA,Mount Tom,42.27279,-72.68677
01028,MA,East Longmeadow,42.066795,-72.5102
01029,MA,East Otis,42.175896,-73.04204
01030,MA,Feeding Hills,42.070774,-72.67248
01031,MA,Gilbertville,42.33071,-72.18833
01032,MA,Goshen,42.45792,-72.81551
01033,MA,Granby,42.254563,-72.51831
01034,MA,Tolland,42.086224,-72.94464
01035,MA,Hadley,42.35549,-72.5733
01036,MA,Hampden,42.064703,-72.41735
01037,MA,Hardwick,42.374202,-72.19524
01038,MA,Hatfield,42.375155,-72.60832
01039,MA,Haydenville,42.381475,-72.69259
01040,MA,Holyoke,42.201891,-72.6242
01041,MA,Halyoke,42.2043,-72.6167
01050,MA,Huntington,42.290209,-72.87942
01053,MA,Leeds,42.353105,-72.70206
01054,MA,Leverett,42.479839,-72.49879
01056,MA,Ludlow,42.174893,-72.47068
01057,MA,Monson,42.089269,-72.317
01059,MA,North Amherst,42.3738,-72.5205
01060,MA,Florence,42.324539,-72.63561
01061,MA,North Hampton,42.3251,-72.6418
01062,MA,Florence,42.324232,-72.67915
01063,MA,Northampton,42.3191,-72.6395
01068,MA,Oakham,42.349769,-72.04413
01069,MA,Palmer,42.176401,-72.32646
01070,MA,Plainfield,42.515853,-72.91661
01071,MA,Russell,42.165931,-72.85153
01072,MA,Shutesbury,42.486027,-72.42208
01073,MA,Southampton,42.223885,-72.72777
01074,MA,South Barre,42.3824,-72.0998
01075,MA,South Hadley,42.234891,-72.58243
01077,MA,Southwick,42.05283,-72.76966
01080,MA,Three Rivers,42.180563,-72.36518
01081,MA,Wales,42.058024,-72.22517
01082,MA,Ware,42.270611,-72.26067
01083,MA,Warren,42.20468,-72.20259
01084,MA,West Chesterfield,42.379807,-72.89043
01085,MA,Montgomery,42.133642,-72.75029
01086,MA,Westfield,42.1253,-72.7501
01088,MA,West Hatfield,42.388831,-72.6321
01089,MA,West Springfield,42.112793,-72.64066
01090,MA,West Springfield,42.11,-72.62
01092,MA,West Warren,42.210777,-72.23904
01093,MA,Whately,42.4399,-72.6353
01095,MA,Wilbraham,42.12531,-72.44057
01096,MA,Williamsburg,42.415236,-72.78271
01097,MA,Woronoco,42.1594,-72.8751
01098,MA,Worthington,42.399054,-72.93871
010HH,MA,,42.19748,-72.59638
01101,MA,Springfield,42.1066,-72.5963
01102,MA,Spfld,42.1015,-72.5905
01103,MA,Springfield,42.103294,-72.59112
01104,MA,Springfield,42.130343,-72.57338
01105,MA,Springfield,42.096644,-72.5798
01106,MA,Longmeadow,42.050395,-72.5712
01107,MA,Springfield,42.120193,-72.6061
01108,MA,Springfield,42.084094,-72.55523
01109,MA,Springfield,42.116277,-72.55031
01111,MA,Springfield,42.1173,-72.5481
01114,MA,Bay State W Mall,42.1015,-72.5905
01115,MA,Bay State W Tower,42.1015,-72.5905
01116,MA,Longmeadow,42.05,-72.58
01118,MA,Springfield,42.093144,-72.5291
01119,MA,Springfield,42.128442,-72.50932
01128,MA,Springfield,42.095344,-72.48857
01129,MA,Springfield,42.121031,-72.4896
01133,MA,Monarch Life Ins Co,42.1015,-72.5905
01138,MA,Spfld,42.1015,-72.5905
01139,MA,Spfld,42.1015,-72.5905
01144,MA,Springfield,42.1017,-72.5909
01151,MA,Indian Orchard,42.153926,-72.50531
01152,MA,Springfield,42.1512,-72.519
01199,MA,Springfield,42.1262,-72.6103
011HH,MA,,42.095719,-72.58976
01201,MA,Pittsfield,42.45384,-73.254
01202,MA,Pittsfield,42.4501,-73.2456
01203,MA,Pittsfield,42.4501,-73.2456
01220,MA,Adams,42.619727,-73.11842
01222,MA,Ashley Falls,42.057496,-73.32177
01223,MA,Becket,42.314449,-73.09335
01224,MA,Berkshire,42.5067,-73.1984
01225,MA,Cheshire,42.551731,-73.1653
01226,MA,Dalton,42.476575,-73.11547
01227,MA,Dalton,42.47,-73.17
01230,MA,Great Barrington,42.189715,-73.35249
01235,MA,Peru,42.433661,-73.09278
01236,MA,Housatonic,42.266874,-73.36236
01237,MA,Hancock,42.557346,-73.24364
01238,MA,Lee,42.299263,-73.2327
01240,MA,Lenox,42.36237,-73.27683
01242,MA,Lenox Dale,42.336557,-73.24599
01243,MA,Middlefield,42.3595,-73.0228
01244,MA,Mill River,42.139104,-73.20312
01245,MA,West Otis,42.180659,-73.20849
01247,MA,Clarksburg,42.696064,-73.10145
01253,MA,Otis,42.198403,-73.10205
01254,MA,Richmond,42.374711,-73.36336
01255,MA,Sandisfield,42.088973,-73.12444
01256,MA,Savoy,42.592506,-73.01123
01257,MA,Sheffield,42.102694,-73.36591
01258,MA,South Egremont,42.103122,-73.45734
01259,MA,Southfield,42.0645,-73.24674
01262,MA,Stockbridge,42.283216,-73.31423
01263,MA,Assoc of Marian Helpers,42.2878,-73.3208
01264,MA,Tyringham,42.224905,-73.20394
01266,MA,West Stockbridge,42.328535,-73.36407
01267,MA,Williamstown,42.689962,-73.22355
01270,MA,East Windsor,42.5137,-73.043
012HH,MA,,42.329078,-73.27124
01301,MA,Leyden,42.605524,-72.60098
01302,MA,Greenfield,42.59,-72.6
01330,MA,Ashfield,42.521131,-72.81116
01331,MA,New Salem,42.579931,-72.20836
01337,MA,Leyden,42.678023,-72.55569
01338,MA,Buckland,42.569498,-72.802
01339,MA,Hawley,42.626858,-72.87939
01340,MA,Colrain,42.673371,-72.73104
01341,MA,Conway,42.508313,-72.70403
01342,MA,Deerfield,42.542322,-72.6091
01343,MA,Drury,42.6612,-72.9992
01344,MA,Erving,42.607051,-72.41396
01346,MA,Heath,42.669255,-72.80494
01349,MA,Millers Falls,42.5737,-72.50525
01350,MA,Monroe,42.712257,-72.97629
01351,MA,Montague,42.534976,-72.52522
01354,MA,Gill,42.6376,-72.5087
01355,MA,New Salem,42.485899,-72.33345
01360,MA,Northfield,42.682285,-72.45649
01364,MA,New Salem,42.599614,-72.29263
01366,MA,Petersham,42.474718,-72.21226
01367,MA,Rowe,42.694883,-72.90962
01368,MA,Royalston,42.671012,-72.16999
01370,MA,Shelburne Falls,42.603447,-72.72754
01373,MA,South Deerfield,42.472734,-72.62452
01375,MA,Sunderland,42.449978,-72.56302
01376,MA,Turners Falls,42.609425,-72.54438
01378,MA,Warwick,42.667152,-72.32729
01379,MA,Wendell,42.547274,-72.41724
01380,MA,Wendell Depot,42.594455,-72.36314
013HH,MA,,42.59699,-72.49668
01420,MA,Fitchburg,42.578689,-71.80338
01430,MA,Ashburnham,42.658768,-71.93287
01431,MA,Ashby,42.672005,-71.8137
01432,MA,Ayer,42.549821,-71.59136
01434,MA,Ayer,42.536,-71.6139
01436,MA,Baldwinville,42.608903,-72.08021
01438,MA,East Templeton,42.563367,-72.03498
01440,MA,Gardner,42.575355,-71.99183
01441,MA,Gardner,42.575,-71.9988
01450,MA,Groton,42.609887,-71.55722
01451,MA,Harvard,42.505928,-71.5888
01452,MA,Hubbardston,42.477515,-71.99654
01453,MA,Leominster,42.526523,-71.75358
01460,MA,Littleton,42.540052,-71.49085
01462,MA,Lunenburg,42.582839,-71.72051
01463,MA,Pepperell,42.665686,-71.5929
01464,MA,Shirley Center,42.559289,-71.64555
01467,MA,Still River,42.488666,-71.62412
01468,MA,Templeton,42.557796,-72.06824
01469,MA,Townsend,42.658738,-71.69204
01470,MA,Groton,42.6112,-71.5752
01471,MA,Groton,42.625,-71.5857
01473,MA,Westminster,42.544622,-71.9021
01474,MA,W Townsend,42.669408,-71.74578
01475,MA,Winchendon,42.675441,-72.0467
014HH,MA,,42.502879,-71.93016
01501,MA,Auburn,42.20361,-71.83843
01503,MA,Berlin,42.380562,-71.62665
01504,MA,Blackstone,42.028147,-71.52999
01505,MA,Boylston,42.338392,-71.73026
01506,MA,Brookfield,42.200374,-72.09787
01507,MA,Charlton,42.135142,-71.96961
01510,MA,Clinton,42.418836,-71.68482
01515,MA,East Brookfield,42.212777,-72.05311
01516,MA,East Douglas,42.061437,-71.72887
01518,MA,Fiskdale,42.12515,-72.12393
01519,MA,Grafton,42.201674,-71.68771
01520,MA,Holden,42.338962,-71.84434
01521,MA,Holland,42.054676,-72.16137
01522,MA,Jefferson,42.369658,-71.87418
01523,MA,Lancaster,42.473131,-71.67946
01524,MA,Leicester,42.238942,-71.91908
01525,MA,Linwood,42.0973,-71.6455
01526,MA,Manchaug,42.0945,-71.7482
01527,MA,Millbury,42.196144,-71.76272
01529,MA,Millville,42.036396,-71.57798
01531,MA,New Braintree,42.317121,-72.12248
01532,MA,Northborough,42.321917,-71.64692
01534,MA,Northbridge,42.140741,-71.64376
01535,MA,North Brookfield,42.267274,-72.07823
01536,MA,North Grafton,42.231444,-71.70523
01537,MA,North Oxford,42.170846,-71.88989
01540,MA,Oxford,42.117527,-71.8657
01541,MA,Princeton,42.451569,-71.882
01542,MA,Rochdale,42.194793,-71.90651
01543,MA,Rutland,42.380877,-71.96427
01545,MA,Shrewsbury,42.286643,-71.72502
01546,MA,Shrewsbury,42.2888,-71.7519
01550,MA,Southbridge,42.070827,-72.03533
01560,MA,South Grafton,42.177462,-71.69382
01561,MA,South Lancaster,42.4428,-71.6864
01562,MA,Spencer,42.247212,-71.99227
01564,MA,Sterling,42.436875,-71.77333
01566,MA,Sturbridge,42.104581,-72.08584
01568,MA,West Upton,42.17382,-71.60971
01569,MA,Uxbridge,42.064978,-71.62992
01570,MA,Dudley Hill,42.047728,-71.86108
01571,MA,Dudley,42.049864,-71.9173
01580,MA,Westborough,42.2918,-71.5717
01581,MA,Westborough,42.269845,-71.61408
01582,MA,Westborough,42.2819,-71.5835
01583,MA,West Boylston,42.359842,-71.787
01585,MA,West Brookfield,42.242965,-72.16734
01586,MA,Millbury,42.1756,-71.8027
01588,MA,Whitinsville,42.114195,-71.67225
01590,MA,Wilkinsonville,42.131028,-71.75121
015HH,MA,,42.166944,-71.78387
01601,MA,Worcester,42.26,-71.8
01602,MA,Worcester,42.272359,-71.84482
01603,MA,Worcester,42.240526,-71.83776
01604,MA,Worcester,42.255393,-71.77459
01605,MA,Worcester,42.286543,-71.78846
01606,MA,Worcester,42.311342,-71.79531
01607,MA,Worcester,42.229543,-71.79501
01608,MA,Worcester,42.261343,-71.80173
01609,MA,Worcester,42.271743,-71.81348
01610,MA,Worcester,42.248493,-71.80793
01611,MA,Cherry Valley,42.238449,-71.87139
01612,MA,Paxton,42.307591,-71.91929
01613,MA,Worcester,42.2662,-71.7951
01614,MA,Worcester,42.26,-71.8
01615,MA,Worcester,42.26,-71.8
01653,MA,Worcester,42.2922,-71.7837
01655,MA,Worcester,42.26,-71.8
016HH,MA,,42.350326,-71.91121
01701,MA,Framingham,42.318695,-71.42344
01702,MA,Framingham,42.283995,-71.42161
01703,MA,Framingham,42.3026,-71.4236
01704,MA,Framingham,42.28,-71.42
01705,MA,Framingham,42.33,-71.4
01718,MA,Village Of Nagog,42.519739,-71.42721
01719,MA,Boxboro,42.486259,-71.51244
01720,MA,Acton,42.477142,-71.4422
01721,MA,Ashland,42.257956,-71.45886
01730,MA,Bedford,42.496679,-71.27504
01731,MA,Hanscom Afb,42.459085,-71.27556
01740,MA,Bolton,42.437086,-71.61266
01741,MA,Carlisle,42.5286,-71.35084
01742,MA,Concord,42.457201,-71.37478
01745,MA,Southborough,42.295544,-71.50468
01746,MA,Holliston,42.196065,-71.43797
01747,MA,Hopedale,42.125536,-71.53662
01748,MA,Hopkinton,42.220447,-71.53418
01749,MA,Hudson,42.389813,-71.55791
01752,MA,Marlborough,42.350909,-71.54753
01754,MA,Maynard,42.430781,-71.45594
01756,MA,Mendon,42.092006,-71.54474
01757,MA,Milford,42.149176,-71.52149
01760,MA,Natick,42.290763,-71.35368
01770,MA,Sherborn,42.231025,-71.37202
01772,MA,Southborough,42.297643,-71.53369
01773,MA,Lincoln,42.425537,-71.30316
01775,MA,Stow,42.423882,-71.51086
01776,MA,Sudbury,42.38532,-71.42989
01778,MA,Wayland,42.345583,-71.35643
01801,MA,Woburn,42.484545,-71.15206
01803,MA,Burlington,42.506362,-71.20008
01805,MA,Burlington,42.5044,-71.1964
01810,MA,Andover,42.646942,-71.1513
01812,MA,Andover,42.6585,-71.1377
01821,MA,Billerica,42.54805,-71.25054
01822,MA,Billerica,42.56,-71.27
01824,MA,South Chelmsford,42.595491,-71.3544
01826,MA,Dracut,42.677772,-71.316
01827,MA,Dunstable,42.671356,-71.50292
01830,MA,Haverhill,42.78519,-71.07011
01831,MA,Haverhill,42.78,-71.08
01832,MA,Haverhill,42.781357,-71.11023
01833,MA,Georgetown,42.729437,-70.98291
01834,MA,Groveland,42.750691,-71.02487
01835,MA,Bradford,42.757767,-71.08518
01840,MA,Lawrence,42.706941,-71.16181
01841,MA,Lawrence,42.71159,-71.16667
01842,MA,Lawrence,42.7069,-71.166
01843,MA,Lawrence,42.691091,-71.16078
01844,MA,Methuen,42.73004,-71.17935
01845,MA,North Andover,42.683841,-71.11171
01850,MA,Lowell,42.655791,-71.30504
01851,MA,Lowell,42.630915,-71.33238
01852,MA,Lowell,42.634112,-71.29849
01853,MA,Lowell,42.6496,-71.3101
01854,MA,Lowell,42.649758,-71.33348
01860,MA,Merrimac,42.834246,-71.00207
01862,MA,North Billerica,42.573592,-71.2911
01863,MA,North Chelmsford,42.634199,-71.39322
01864,MA,North Reading,42.583436,-71.0982
01866,MA,Pinehurst,42.53,-71.23
01867,MA,Reading,42.52585,-71.10993
01876,MA,Tewksbury,42.601684,-71.22071
01879,MA,Tyngsboro,42.671589,-71.41694
01880,MA,Wakefield,42.501345,-71.07132
01886,MA,Graniteville,42.592086,-71.43754
01887,MA,Wilmington,42.558576,-71.17031
01888,MA,Woburn,42.51,-71.13
01889,MA,North Reading,42.5728,-71.1118
01890,MA,Winchester,42.451945,-71.14276
01899,MA,Andover,42.6586,-71.1375
018HH,MA,,42.735906,-71.1206
01901,MA,Lynn,42.4626,-70.9473
01902,MA,Lynn,42.469946,-70.94113
01903,MA,Lynn,42.46,-70.95
01904,MA,East Lynn,42.490421,-70.96579
01905,MA,West Lynn,42.464879,-70.97411
01906,MA,Saugus,42.462796,-71.0098
01907,MA,Swampscott,42.474409,-70.90588
01908,MA,Nahant,42.427096,-70.92809
01910,MA,Lynn,42.7714,-71.1242
01913,MA,Amesbury,42.854423,-70.93547
01915,MA,Beverly,42.560995,-70.8757
01921,MA,Boxford,42.677869,-71.00844
01922,MA,Byfield,42.76087,-70.92648
01923,MA,Danvers,42.569756,-70.94322
01929,MA,Essex,42.631753,-70.77925
01930,MA,Gloucester,42.624015,-70.67552
01931,MA,Gloucester,42.6159,-70.6627
01936,MA,Hamilton,42.62,-70.86
01938,MA,Ipswich,42.682965,-70.84007
01940,MA,Lynnfield,42.527895,-71.02834
01944,MA,Manchester,42.580033,-70.76462
01945,MA,Marblehead,42.497146,-70.86323
01949,MA,Middleton,42.602278,-71.01356
01950,MA,Newburyport,42.809891,-70.86363
01951,MA,Newbury,42.780141,-70.86866
01952,MA,Salisbury,42.85048,-70.86153
01960,MA,Peabody,42.534045,-70.96146
01961,MA,Peabody,42.53,-70.93
01966,MA,Rockport,42.659936,-70.61727
01969,MA,Rowley,42.716708,-70.90899
01970,MA,Salem,42.516845,-70.8985
01971,MA,Salem,42.5195,-70.8972
01982,MA,South Hamilton,42.616643,-70.86513
01983,MA,Topsfield,42.642471,-70.94424
01984,MA,Wenham,42.600518,-70.87618
01985,MA,West Newbury,42.790736,-70.97286
019HH,MA,,42.6254,-70.77756
02019,MA,Bellingham,42.075122,-71.47953
02020,MA,Ocean Bluff-Brant Rock,42.0863,-70.6417
02021,MA,Canton,42.166776,-71.1343
02025,MA,Cohasset,42.241908,-70.81223
02026,MA,Dedham,42.244609,-71.16553
02027,MA,Dedham,42.24,-71.17
